gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AvgChargesPerMonth,IsLongTermCustomer,HasStreamingService,HasSecurityBackup
0,0,1,0,0,0,0,1,0,0,0,0,1,29.85,0,0,0,0,0,0,1,0,29.85,0,0,1
1,0,0,0,1,0,1,0,1,0,0,0,0,56.95,0,0,0,1,0,0,0,1,55.5735294117647,1,0,1
1,0,0,0,1,0,1,1,0,0,0,0,1,53.85,1,0,0,0,0,0,0,1,54.075,0,0,1
1,0,0,0,0,0,1,0,1,1,0,0,0,42.3,0,0,0,1,0,0,0,0,40.90555555555556,1,0,1
0,0,0,0,1,0,0,0,0,0,0,0,1,70.7,1,1,0,0,0,0,1,0,75.825,0,0,0
0,0,0,0,1,1,0,0,1,0,1,1,1,99.65,1,1,0,0,0,0,1,0,102.5625,0,1,0
1,0,0,1,1,1,0,1,0,0,1,0,1,89.1,0,1,0,0,0,1,0,0,88.60909090909091,0,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,29.75,0,0,0,0,0,0,0,1,30.189999999999998,0,0,1
0,0,1,0,1,1,0,0,1,1,1,1,1,104.8,1,1,0,0,0,0,1,0,108.78750000000001,1,1,0
1,0,0,1,1,0,1,1,0,0,0,0,0,56.15,0,0,0,1,0,0,0,0,56.25725806451613,1,0,1
1,0,1,1,1,0,1,0,0,0,0,0,1,49.95,0,0,0,0,0,0,0,1,45.18846153846154,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,18.95,0,0,1,0,1,1,0,0,20.425,0,0,0
1,0,1,0,1,1,0,0,1,0,1,1,0,100.35,0,1,0,1,0,1,0,0,97.95,1,1,0
1,0,0,0,1,1,0,1,1,0,1,1,1,103.7,1,1,0,0,0,0,0,0,102.78163265306122,1,1,1
1,0,0,0,1,0,1,0,1,1,1,1,1,105.5,0,1,0,0,0,0,1,0,107.44200000000001,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,0,113.25,0,1,0,0,1,1,0,0,114.42246376811593,1,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,20.65,0,0,1,1,0,0,0,1,19.672115384615385,1,0,0
1,0,0,1,1,1,1,0,1,0,1,1,0,106.7,0,1,0,0,1,0,0,0,103.97535211267606,1,1,1
0,0,1,1,1,0,0,0,1,1,0,0,0,55.2,1,0,0,0,0,1,0,0,52.835,0,0,0
0,0,0,0,1,0,0,1,1,0,0,1,1,90.05,0,1,0,0,0,0,1,0,88.70952380952382,0,1,1
1,1,0,0,0,0,0,0,1,0,0,1,1,39.65,1,0,0,0,0,0,1,0,39.65,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,19.8,0,0,1,1,0,0,0,0,16.854166666666668,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,20.15,1,0,1,0,0,0,0,1,20.15,0,0,0
0,0,1,0,1,1,0,1,0,1,0,0,1,59.9,0,0,0,0,1,1,0,0,60.432758620689654,1,0,1
1,0,1,1,1,0,1,1,0,1,0,0,0,59.6,0,0,0,0,0,1,0,0,60.61836734693878,1,0,1
0,0,0,0,1,0,1,1,0,0,0,0,1,55.3,0,0,0,0,0,0,0,0,51.019999999999996,1,0,1
1,0,1,1,1,1,0,1,0,0,1,1,1,99.35,1,1,0,0,0,0,1,0,101.04574468085106,1,1,1
1,0,1,1,0,0,0,1,0,0,0,0,0,30.2,1,0,0,0,0,0,1,0,30.2,0,0,1
1,0,1,0,1,1,1,1,1,1,1,1,1,90.25,0,0,0,0,1,1,0,0,88.46458333333334,1,1,1
0,0,0,1,1,0,0,0,0,0,1,1,1,64.7,1,0,0,0,0,0,0,1,64.3,0,1,0
0,1,1,0,1,1,1,1,1,1,0,0,1,96.35,0,1,0,0,1,1,0,0,95.30915492957746,1,0,1
1,1,1,0,1,0,0,0,1,0,1,1,1,95.5,0,1,0,0,0,1,0,0,90.825,0,1,0
0,0,1,1,1,0,1,1,1,1,0,0,0,66.15,0,0,0,1,0,0,0,1,69.42407407407407,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,20.2,0,0,1,0,0,0,0,0,20.2,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,45.25,0,0,0,0,0,0,0,0,45.25,0,0,0
0,0,1,1,1,1,1,1,0,1,1,0,0,99.9,0,1,0,0,1,0,0,0,100.71805555555555,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,1,69.7,1,1,0,0,0,0,1,0,63.379999999999995,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,1,74.8,0,1,0,0,0,1,0,0,77.13695652173914,1,0,0
1,0,0,0,1,1,0,1,1,0,1,1,1,106.35,1,1,0,0,0,0,1,0,104.38970588235294,1,1,1
0,0,0,0,1,1,0,0,1,0,1,1,1,97.85,1,1,0,0,0,0,0,0,100.4909090909091,0,1,0
1,0,1,1,1,0,0,1,0,0,0,0,0,49.55,0,0,0,1,0,0,0,1,47.57,0,0,1
0,0,1,1,1,1,1,1,0,0,1,0,1,69.2,0,0,0,0,1,1,0,0,69.605,1,1,1
0,0,1,1,1,0,0,0,0,0,0,0,0,20.75,0,0,1,1,0,0,0,1,24.602941176470587,0,0,0
0,0,0,0,1,1,1,1,1,1,1,0,1,79.85,0,0,0,0,1,1,0,0,77.16587301587302,1,1,1
0,0,1,0,1,1,1,1,0,1,1,0,1,76.2,0,0,0,0,0,0,1,0,75.49615384615385,0,1,1
0,0,0,0,1,1,0,0,0,0,0,1,1,84.5,0,1,0,0,0,0,1,0,79.72857142857143,1,1,0
1,0,0,0,1,0,0,1,0,0,0,0,0,49.25,0,0,0,0,0,0,0,1,48.5,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,80.65,1,1,0,0,0,0,1,0,72.075,0,1,0
1,0,0,0,1,1,1,0,0,1,1,1,1,79.75,0,0,0,0,1,1,0,0,81.11153846153846,1,1,1
0,0,1,1,1,1,1,0,1,1,0,0,1,64.15,0,0,0,0,1,1,0,0,61.6536231884058,1,0,1
0,1,0,0,1,1,0,1,0,0,1,0,1,90.25,0,1,0,0,0,0,1,0,89.27325581395348,1,1,1
0,0,0,0,1,0,1,1,0,0,1,1,1,99.1,1,1,0,0,0,1,0,0,95.09333333333333,0,1,1
0,1,1,0,1,1,1,0,0,1,1,0,1,69.5,0,0,0,0,0,1,0,0,70.10600000000001,1,1,1
0,1,1,0,1,1,0,1,0,0,0,0,1,80.65,1,1,0,0,0,1,0,0,79.1625,0,0,1
0,1,1,1,1,0,1,1,1,1,0,1,1,74.85,0,0,0,1,0,1,0,0,74.27250000000001,1,1,1
1,1,0,0,1,1,0,0,0,0,1,1,1,95.45,1,1,0,0,0,0,1,0,97.36388888888888,0,1,0
0,0,1,1,1,1,1,0,0,0,1,1,1,99.65,0,1,0,1,0,1,0,0,100.17777777777778,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,108.45,0,1,0,1,0,0,1,0,107.21742424242424,1,1,1
0,0,1,1,1,1,0,0,0,0,0,0,0,24.95,0,0,1,0,1,1,0,0,26.302941176470586,1,0,0
0,0,0,0,1,1,0,0,1,1,1,1,1,107.5,0,1,0,0,1,1,0,0,109.07916666666667,1,1,0
0,0,1,0,1,1,0,0,1,0,1,1,1,100.5,0,1,0,0,0,0,1,0,100.15106382978725,1,1,0
1,0,0,0,1,1,0,1,0,0,1,0,1,89.9,0,1,0,0,0,0,0,0,90.845,1,1,1
1,0,1,0,0,0,1,1,1,0,0,0,0,42.1,0,0,0,0,1,0,0,0,41.138888888888886,1,0,1
0,0,1,1,1,0,0,0,1,1,0,0,1,54.4,0,0,0,1,0,1,0,0,53.172222222222224,0,0,0
0,0,0,0,1,1,0,0,0,0,1,1,0,94.4,1,1,0,0,0,0,1,0,95.25,0,1,0
0,0,0,0,1,0,0,1,0,1,1,1,1,75.3,0,0,0,0,0,0,1,0,81.36666666666666,0,1,1
1,0,1,0,1,1,0,1,0,0,0,0,1,78.9,0,1,0,1,0,0,1,0,77.66702127659575,1,0,1
0,0,0,0,1,0,0,1,1,1,1,1,0,79.2,0,0,0,0,1,0,0,1,80.55483870967741,1,1,1
0,0,1,1,1,0,0,0,0,0,0,0,0,20.15,0,0,1,0,1,0,0,0,18.618,1,0,0
1,0,0,0,1,0,1,0,1,0,0,0,1,79.85,0,1,0,0,0,0,0,1,88.735,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,49.05,0,0,0,0,0,0,0,1,49.05,0,0,0
0,0,1,1,1,0,0,0,0,0,0,0,1,20.4,0,0,1,1,0,0,1,0,20.974038461538463,1,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,111.6,0,1,0,0,1,0,0,0,110.921875,1,1,1
1,0,1,1,1,1,0,0,0,0,0,0,1,24.25,0,0,1,0,1,0,0,0,22.97741935483871,1,0,0
0,0,0,1,1,0,1,0,0,1,0,1,1,64.5,0,0,0,0,0,0,0,0,59.13333333333333,0,1,1
0,1,0,0,1,1,1,1,1,0,1,1,0,110.5,0,1,0,1,0,0,1,0,109.63392857142857,1,1,1
0,0,0,0,1,0,0,0,0,0,0,1,0,55.65,0,0,0,1,0,1,0,0,58.45326086956521,1,1,0
0,0,1,1,1,0,1,1,0,0,0,0,0,54.65,0,0,0,0,0,0,0,1,60.28125,0,0,1
1,1,0,0,1,0,1,1,0,0,1,1,1,74.75,0,0,0,0,0,0,1,0,70.37666666666668,1,1,1
0,0,1,1,1,1,0,0,0,0,0,0,1,25.9,0,0,1,1,0,1,0,0,27.035555555555554,1,0,0
0,0,0,1,1,0,0,0,0,0,1,0,1,79.35,1,1,0,0,0,0,1,0,79.35,0,1,0
0,0,1,1,0,0,1,0,0,0,1,1,0,50.55,0,0,0,0,0,0,1,0,51.39545454545455,0,1,1
0,0,1,0,1,0,0,0,1,0,0,0,1,75.15,1,1,0,0,0,0,0,0,70.98571428571428,0,0,0
0,0,0,0,1,0,0,1,1,1,1,1,1,103.8,0,1,0,0,0,0,0,0,103.03571428571429,1,1,1
0,0,1,0,1,0,0,0,0,0,0,0,1,20.15,0,0,1,0,1,0,0,0,19.864285714285714,1,0,0
1,0,0,0,1,1,0,1,0,0,1,1,1,99.3,0,1,0,0,0,1,0,0,102.08333333333333,0,1,1
0,0,1,0,1,0,1,0,0,0,1,0,1,62.15,0,0,0,1,0,0,0,0,63.29857142857142,1,1,1
0,0,1,1,1,0,0,0,0,0,0,0,0,20.65,0,0,1,0,1,0,0,0,22.020833333333332,1,0,0
0,0,1,1,1,0,0,0,0,0,0,0,1,19.95,0,0,1,0,1,0,0,1,20.15434782608696,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0,33.75,0,0,0,0,0,0,0,1,34.80172413793103,1,1,0
1,0,1,1,1,0,0,1,1,0,0,0,0,82.05,0,1,0,0,0,0,0,0,85.67333333333333,1,0,1
1,1,0,0,1,0,0,0,0,1,0,0,0,74.7,0,1,0,0,0,0,1,0,74.7,0,0,0
